OBJECTID,State,Average_Ti,Shape_Length,Shape_Area
1,Maryland,66.73,18.2851385706407,2.86509068113284
2,Iowa,47.07,18.6273401744425,15.848948575755
3,Delaware,85,4.07803139646393,0.553715769433645
4,Ohio,45.39,15.5785004462697,11.3321205778473
5,Pennsylvania,73.45,16.5632812341146,12.5374390761494
6,Nebraska,41.47,23.0781108306976,21.6171884342637
7,Washington,95.99,24.4957545578903,21.3048660603002
8,Alabama,32.93,16.9044218901237,12.8973645019569
9,Arkansas,30.53,17.6550348172482,13.5914043620925
10,New Mexico,38.2,23.5522736986879,30.8928005042941
11,Texas,42.22,45.047435829785,65.7785953064599
12,California,58.48,40.7559217182102,41.7301531469716
13,Kentucky,36.32,20.3483398248696,10.6656312062507
14,Georgia,47.88,17.2884437190422,14.6825470000588
15,Wisconsin,61,22.4288394885922,16.5129295457139
16,Oregon,71.53,24.5650379668217,28.1830093242955
17,Missouri,67.91,22.7159776491744,18.6039660650214
18,Virginia,53.43,24.3380858352463,10.7765278854719
19,Tennessee,51.53,20.7075564916739,10.8921371779491
20,Louisiana,37.53,22.176979313219,11.8564021699678
21,New York,71.71,26.2566134310248,14.0736502309485
22,Michigan,42.77,42.3047531694439,17.352434014561
23,Idaho,59.02,27.3995378431399,24.4846180951459
24,Florida,56.51,30.8710352771329,14.2276331070984
25,Alaska,142.33,279.580955644077,287.887187221388
26,Illinois,51.71,19.0859936328309,15.4132242551721
27,Montana,32.06,33.4617641590905,45.0530804524609
28,Minnesota,57.78,28.8874029027249,25.5650857225448
29,Indiana,36.27,14.7889677805102,9.88017409334843
30,Massachusetts,122.63,13.6261771042366,2.39256905751961
31,Kansas,42.79,21.0356537826089,22.0136182094336
32,Nevada,39.9,23.5163927926606,29.9372668777846
33,Vermont,101.95,8.28196269397657,2.80160705776191
34,Connecticut,63.5,5.71239931721135,1.40026231809094
35,New Jersey,78.8,7.9400074655221,2.13460202780125
36,North Carolina,45.97,21.2687675655744,13.5675031758433
37,Utah,33.8,19.9974727461191,22.9773747959939
38,North Dakota,48,20.6334850155891,21.8419930440768
39,South Carolina,45.91,13.3619233560124,7.86123977933978
40,Mississippi,30.36,17.3494952718617,11.8669308130611
41,Colorado,58.42,22.0173224071385,28.036515371372
42,South Dakota,51.22,22.6809027065117,22.5779773941453
43,Oklahoma,44.76,24.4003047102237,17.9966372693466
44,Wyoming,57.64,21.9816668187167,27.9736022571786
45,West Virginia,54.66,16.5048813477122,6.5134444891103
46,Maine,75.21,17.1057179589703,10.0027660599848
47,Hawaii,114.33,12.5068002006484,1.44941773467571
48,New Hampshire,74.34,8.06224932517894,2.68352252701592
49,Arizona,44.89,23.022486688021,28.9212904250402
50,Rhode Island,115,3.01990998918164,0.34634650229239
